,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
19,mobileofferplace.site,0,0,0,0.0,0.0,,,,,21,76.23866587835397,0,0.0,0,4,0.2857142857142857,,,,0
20,caffeinamagazine.it,0,0,0,0.0,0.0,,,,,19,61.955735253264656,0,0.0,0,5,0.42105263157894735,,,,0
21,163.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,7,19.651484454403235,3,0.42857142857142855,1,1,0.42857142857142855,7918.0,7918.0,116.0,0
22,ancestry.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,41.019550008653866,0,0.0,0,1,0.9166666666666666,8771.0,8771.0,253.0,0
23,soundcloud.com,0,0,0,0.0,0.0,3.0,3.6666666666666665,0.4714045207910317,1.7562555427106403,14,42.548081406643,0,0.0,0,3,0.35714285714285715,5047.0,5047.0,41.0,0
24,poste.it,0,0,0,0.0,0.0,,,,,8,22.0,0,0.0,0,2,0.625,,,,0
25,citi.com,0,0,0,0.0,0.0,,,,,8,20.0,0,0.0,0,2,0.5,7447.0,7447.0,69.0,0
26,readthedocs.io,1,1,0,0.0,0.0,2.0,4.0,2.0,0.6305080135742561,14,47.30296890880647,0,0.0,0,4,0.2857142857142857,1801.0,1801.0,669.0,0
27,gmx.net,0,0,0,0.0,0.0,,,,,7,19.651484454403235,0,0.0,0,2,0.42857142857142855,7467.0,7467.0,113.0,0
28,mawdoo3.com,0,0,0,0.0,0.0,,,,,11,31.298860302846798,1,0.09090909090909093,1,3,0.2727272727272727,3388.0,3388.0,2240.0,0
29,spanishdict.com,0,0,0,0.0,0.0,,,,,15,52.603358934127776,0,0.0,0,3,0.4666666666666667,7288.0,7288.0,1891.0,0
30,bab.la,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.509775004326936,0,0.0,0,2,0.5,4589.0,4589.0,56.0,0
31,teamviewer.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,14,46.548081406643,0,0.0,0,3,0.42857142857142855,5354.0,5354.0,94.0,0
32,lianjia.com,0,0,0,0.0,0.0,2.0,7.0,2.0,1.0218530082703825,11,34.05374780501027,0,0.0,0,3,0.3636363636363637,6243.0,6243.0,361.0,0
33,softonic.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12,36.26466250649041,0,0.0,0,2,0.6666666666666666,7052.0,7052.0,112.0,0
34,archiveofourown.org,0,0,0,0.0,0.0,3.0,2.0,0.0,0.6705664989726873,19,67.95573525326465,0,0.0,0,5,0.3684210526315789,4373.0,4373.0,79.0,0
35,google.ie,0,0,0,0.0,0.0,,,,,9,22.52932501298081,0,0.0,0,2,0.6666666666666666,,,,0
36,fastpic.ru,0,0,0,0.0,0.0,3.0,2.333333333333333,0.4714045207910317,0.645903430438728,10,33.219280948873624,0,0.0,0,3,0.4,,,,0
37,artstation.com,0,0,0,0.0,0.0,,,,,14,44.548081406643,0,0.0,0,3,0.5,5119.0,5119.0,2442.0,0
38,usatoday.com,0,0,0,0.0,0.0,3.0,2.0,0.0,0.4919163266187081,12,39.01955000865389,0,0.0,0,1,0.9166666666666666,9152.0,9152.0,131.0,0
39,cnet.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.19112357172983807,8,22.0,0,0.0,0,1,0.875,9207.0,9207.0,107.0,0
40,admarsai.com,0,0,0,0.0,0.0,,,,,12,36.26466250649041,0,0.0,0,4,0.3333333333333333,925.0,925.0,559.0,0
